,x1,x2,y_oakface,y_clybrkcm,y_distd_wn,x2,y_sndpgaz1
280,5.65823,1767.34,0.973234,0.900746,0.984623,1767.34,0.987993
279,5.67061,1763.48,0.978763,0.900376,0.984765,1763.48,0.987297
278,5.68304,1759.62,0.975187,0.899236,0.984913,1759.62,0.987972
277,5.69553,1755.76,0.979048,0.899656,0.985068,1755.76,0.987446
276,5.70808,1751.9,0.977957,0.895066,0.985231,1751.9,0.987945
275,5.72068,1748.04,0.974722,0.894118,0.985396,1748.04,0.988517
274,5.73334,1744.18,0.977804,0.892485,0.985566,1744.18,0.990115
273,5.74605,1740.32,0.979439,0.896233,0.985732,1740.32,0.98983
272,5.75882,1736.47,0.977039,0.897054,0.985892,1736.47,0.987671
271,5.77164,1732.61,0.975611,0.896814,0.986053,1732.61,0.985697
270,5.78453,1728.75,0.978795,0.898784,0.986208,1728.75,0.987387
269,5.79747,1724.89,0.980382,0.899096,0.986356,1724.89,0.987906
268,5.81047,1721.03,0.978237,0.900196,0.986488,1721.03,0.989007
267,5.82352,1717.17,0.976316,0.900939,0.986614,1717.17,0.990535
266,5.83664,1713.31,0.976264,0.901466,0.986732,1713.31,0.991025
265,5.84982,1709.45,0.975945,0.904303,0.986827,1709.45,0.990212
264,5.86305,1705.6,0.976645,0.904929,0.986913,1705.6,0.991227
263,5.87635,1701.74,0.975053,0.905164,0.986986,1701.74,0.99665
262,5.8897,1697.88,0.972231,0.904988,0.987038,1697.88,0.993142
261,5.90312,1694.02,0.974393,0.907924,0.987052,1694.02,0.993296
260,5.91659,1690.16,0.97452,0.908648,0.986999,1690.16,0.987912
259,5.93013,1686.3,0.973298,0.914738,0.986795,1686.3,0.988822
258,5.94373,1682.44,0.972996,0.910715,0.986498,1682.44,0.99399
257,5.9574,1678.58,0.974834,0.914006,0.986098,1678.58,0.994798
256,5.97113,1674.72,0.973639,0.916856,0.985538,1674.72,0.990045
255,5.98492,1670.87,0.973188,0.914923,0.984875,1670.87,0.991202
254,5.99877,1667.01,0.973303,0.921651,0.98411,1667.01,0.987822
253,6.01269,1663.15,0.973744,0.920357,0.983162,1663.15,0.992724
252,6.02667,1659.29,0.974908,0.923878,0.982173,1659.29,0.989548
251,6.04072,1655.43,0.973178,0.920622,0.981155,1655.43,0.987719
250,6.05483,1651.57,0.968075,0.921532,0.980172,1651.57,0.987791
249,6.06901,1647.71,0.973216,0.926654,0.979295,1647.71,0.983229
